contract_address,0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x049d68029688eabf473097a2fc38ef61633a3c7a,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x33edf098e1da3685587ff0f56270c5b44614a21c,0x3b6e5fa0322888b94dca443ce4f3785ac0001dfa,0x43cf58380e69594fa2a5682de484ae00edd83e94,0x67c10c397dd0ba417329543c1a40eb48aaa7cd00,0x724dbe4dbe0676269c87843b62b03e3efb51218d,0x74b23882a30290451a17c44f4f05243b6b58c76d,0x7c7d0b2362294474c218e2dcf31be03fd2d00c80,0x82f0b8b456c1a451378467398982d4834b6829c1,0x8ab54968a3625f4e4b91da4175a73a126b1d2e71,0xa7f09e7be9e7b777126003dab2fa4161f5325343,0xb94e7b8a61a9a5be65053684e8cae71134eb6fd1,0xbe0e67fb615014b755af404cfa36fa740f1c8a9f,0xccce97988377254850e2d9c51df15a382dee36e8,0xda87a2cf59e4a731f431dac124a1babefaf2b2f3,0xde8eadffd0d31a1095252c2cdc9f69917e60e85c,0xe55e19fb4f2d85af758950957714292dac1e25b2,0xed2a7edd7413021d440b09d654f3b87712abab66,0xf213da0cbe5c3b54882abe25c24222c980e7daef
,usdc-usd-coin,Frapped USDT,Wrapped Fantom,veNFT,Solidly,USD LP,nETH,SolidEX,weth-weth,Solidly,Magic Internet Money,veNFT,0Apes.net,veNFT,veNFT,veSOLID,veToken,Solidly Protocol,Synapse,nUSD,Solidly
,usdc,fUSDT,WFTM,veNFT,SOLID,USD-LP,nETH,SEX,weth,SOLID,MIM,veNFT,Ape-Peg,veNFT,veNFT,SOLID,veToken,Solidly,SYN,nUSD,SOLID
2022-07,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2022-08,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2022-09,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2022-10,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2022-11,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2022-12,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2023-01,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2023-02,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2023-03,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2023-04,2986.5625320000195,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,40.965728677483256,1318902.0,4.500666247566175,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,2.9103830456733704e-11,727328.9999999999
2023-05,1.9554136088117957e-11,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,42.12724928725653,1318902.0,0.0,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,25123.743728902897,727328.9999999999
2023-06,1.9554136088117957e-11,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,42.12724928725653,1318902.0,0.0,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,25123.743728902897,727328.9999999999
2023-07,1.9554136088117957e-11,7.275957614183426e-12,1244.100068894327,727328.9999999999,727328.9999999999,0.0,42.12724928725653,1318902.0,0.0,727328.9999999999,1.4551915228366852e-11,7.273289999999999e-13,1500000.0,7.273289999999999e-13,727328.9999999999,727328999.9999999,1454658.0,676304.0,1822.547245359414,25123.743728902897,727328.9999999999
