contract_address,0x1f1e7c893855525b303f99bdf5c3c05be09ca251,0x321e7092a180bb43555132ec53aaa65a5bf84251,0x55904f416586b5140a0f666cf5acf320adf64846,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xc7198437980c041c805a1edcba50c1ce5db95118,0xcfc37a6ab183dd4aed08c204d1c2773c0b1bdf46,0xd586e7f844cea2f87f50152665bcbc2c279d8d70
,Synapse,Governance OHM,USD LP,USD Coin,Wrapped AVAX,Tether USD,nUSD,Dai Stablecoin
,SYN,gOHM,USD-LP,USDC.e,WAVAX,USDT.e,nUSD,DAI.e
2021-10,11976.962548325104,0.0,0.0,0.0,0.0,0.0,4395.289912532141,0.0
2021-11,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.6024703091923e-05,0.0034249999953317456,0.0029003387890043086,0.009479955551796593
2021-12,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,43767.90215877398,0.009479955551796593
2022-01,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-02,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-03,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-04,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-05,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-06,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-07,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-08,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-09,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-10,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-11,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2022-12,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2023-01,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2023-02,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2023-03,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2023-04,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2023-05,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2023-06,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
2023-07,11976.962548325104,0.0,0.0023596424143761396,0.006778999988455325,2.776290128696071,0.0034249999953317456,17.902158773977135,0.009479955551796593
